,"Baboon 8B:1",,,,,"Baboon 9B:1",,,,,"Baboon 12B:1",,,,,"Baboon 11B:1",,,,,"Baboon 13B:1",,,,,"Baboon 5B:1",,,,,"Baboon 7B:1",,,,,
Peak,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,
"2,4-Octadiene","Class1","390","1.445","380674.328","1482.011","Class1","385","1.46","851672.540","2579.770","Class1","390","1.455","411968.902","954.195","Class1","390","1.455","908858.693","3143.226","Class1","385","1.46","661121.707","2768.127","Class1","385","1.46","1351574.50","2333.341","Class1","385","1.46","2887805.22","7212.418",
"Analyte 334","Class1","395","1.04","44757.254","341.107","Class1","395","1.04","38798.667","234.057","Class1","395","1.05","60080.372","325.875","Class1","395","1.045","62046.822","378.875","Class1","395","1.045","29797.731","276.424","Class1","395","1.04","93026.174","462.497","Class1","395","1.045","42426.184","327.354",
"Benzene, 1-chloro-4-(trifluoromethyl)-","Class1","395","1.56","617797.323","4919.246","Class1","395","1.565","310002.722","2251.338","Class1","395","1.565","17155760.2","107687.539","Class1","395","1.565","739703.901","4536.324","Class1","395","1.56","293435.517","2517.713","Class1","395","1.56","3697796.48","25824.195","Class1","395","1.56","704176.354","5261.592",
"Cyclohexene, 1,6,6-trimethyl-","Class1","395","1.41","18882194.9","18518.516","Class1","400","1.405","20244088.5","11415.815","Class1","400","1.43","5448221.34","4926.384","Class1","395","1.42","33242365.5","38357.297","Class1","395","1.415","19438413.7","34621.793","Class1","395","1.415","9776992.59","18249.836","Class1","395","1.42","29220415.8","40955.977",
"2,3-Dimethyl-3-heptene, (Z)-","Class1","400","1.345","18182016.4","31994.752","Class1","400","1.345","17696598.3","35733.211","Class1","400","1.345","23745800.5","20375.443","Class1","400","1.365","45048538.4","35476.125","Class1","400","1.345","24132545.7","44915.684","Class1","400","1.395","25664451.7","31275.471","Class1","400","1.37","48285551.8","41298.898",
"Ethylbenzene","Class1","400","1.765","27344840.0","25218.152","Class1","400","1.77","26098518.9","28595.248","Class1","400","1.8","116390385","25076.549","Class1","400","1.77","62621178.6","33253.207","Class1","400","1.77","30147618.6","46079.742","Class1","400","1.77","77812564.3","14792.701","Class1","400","1.77","41938266.1","19952.088",
"Decane, 5,6-dimethyl-","Class1","405","1.24","1164548.12","3724.896","Class1","400","1.265","2183859.31","4259.118","Class1","410","1.25","1823235.38","3428.723","Class1","405","1.24","5870326.98","7240.440","Class1","405","1.245","2198286.97","4551.588","Class1","405","1.24","6517867.11","5985.507","Class1","405","1.245","4498552.88","7010.144",
"3-Nonene","Class1","410","1.345","49156516.5","22147.457","Class1","410","1.345","34655277.3","25509.521","Class1","410","1.35","108262263","12536.208","Class1","410","1.345","37783900.2","21800.961","Class1","410","1.345","65193757.2","36749.535","Class1","410","1.345","32258502.7","18435.102","Class1","410","1.36","120534231","27989.068",
"Benzene, 1,3-dimethyl-","Class1","415","1.755","51700345.5","35450.984","Class1","415","1.755","56241247.9","39233.188","Class1","410","1.77","33743866.8","20875.852","Class1","415","1.755","76222834.3","34502.609","Class1","415","1.76","62642091.9","116049.383","Class1","415","1.76","76319109.4","32141.387","Class1","415","1.76","80868302.4","55273.422",
"p-Xylene","Class1","415","1.805","2230385.01","9542.588","Class1","415","1.81","2073137.15","10250.254","Class1","415","1.9","2219705.91","6183.715","Class1","415","1.815","2782303.73","10471.128","Class1","415","1.815","1533478.84","11232.692","Class1","415","1.825","1873701.24","7469.208","Class1","415","1.69","2559104.98","8662.097",
"Octane, 3-methyl-","Class1","415","1.265","1089172.66","3849.677","Class1","415","1.265","969412.230","4057.221","Class1","420","1.255","1676213.85","3879.859","Class1","415","1.265","2845559.04","7526.785","Class1","415","1.27","994476.031","5007.448","Class1","415","1.27","1880040.35","5430.872","Class1","415","1.27","1896400.36","6958.913",
"Hexane, 3,4-bis(1,1-dimethylethyl)-2,2,5,5-tetramethyl-","Class1","425","1.23","1880476.89","3144.750","Class1","425","1.23","2044920.99","3928.424","Class1","425","1.235","6672851.55","5882.674","Class1","425","1.23","5637798.71","6971.903","Class1","425","1.23","1994972.87","4455.357","Class1","425","1.23","4068571.62","3779.845","Class1","425","1.23","5334127.43","6486.172",
"1,3-Hexadiene, 3-ethyl-2-methyl-","Class1","425","1.425","9206801.15","12694.286","Class1","425","1.43","6891591.92","16155.954","Class1","425","1.435","11439835.6","6864.002","Class1","425","1.435","18829565.9","28775.131","Class1","425","1.43","10640539.0","22051.760","Class1","425","1.43","7573067.75","13884.729","Class1","425","1.43","21052662.6","22755.693",
"Phenylethyne","Class1","425","2.045","91360.796","362.752","Class1","425","2.04","58135.645","245.622","Class1","425","2.03","9248712.14","26416.064","Class1","425","2.05","131975.306","479.497","Class1","425","2.05","56659.495","294.823","Class1","425","2.045","312331.456","1190.737","Class1","425","2.05","66303.141","248.215",
"1,3-Hexadiene, 3-ethyl-2-methyl-","Class1","435","1.42","2083505.69","4132.487","Class1","430","1.435","2332028.92","7646.532","Class1","430","1.44","1984119.51","3951.654","Class1","430","1.44","5724151.38","15289.321","Class1","430","1.435","2286514.37","9571.145","Class1","430","1.435","1567548.16","6763.313","Class1","430","1.44","2532285.57","7677.400",
"Heptane, 2,2,4-trimethyl-","Class1","435","1.235","1890814.30","3797.431","Class1","435","1.235","2194138.16","4921.531","Class1","435","1.24","6949932.06","6400.489","Class1","435","1.24","6361414.25","8704.646","Class1","435","1.235","1916147.24","5285.316","Class1","435","1.24","3408144.91","4497.637","Class1","435","1.24","4428723.17","7902.293",
"Pentane, 2,3-dimethyl-","Class1","440","1.345","23302587.4","11324.503","Class1","440","1.345","41682136.6","11861.033","Class1","440","1.32","37368033.4","6842.886","Class1","440","1.345","61541903.2","12252.515","Class1","440","1.36","46985245.3","18152.559","Class1","440","1.34","35607359.3","10565.062","Class1","440","1.335","42798691.4","10487.749",
"trans--4-Nonene","Class1","440","1.375","9927793.52","12871.383","Class1","440","1.37","4608847.13","13796.031","Class1","440","1.425","41730658.8","39193.801","Class1","440","1.4","10785624.2","20441.527","Class1","440","1.39","9838933.50","17175.934","Class1","440","1.4","8371428.00","16128.441","Class1","440","1.4","20047180.3","28074.869",
"1-Isopropylcyclohex-1-ene","Class1","440","1.445","1379561.26","1930.672","Class1","440","1.445","821052.997","2378.669","Class1","445","1.455","2961270.40","1813.704","Class1","440","1.455","1489601.13","3794.303","Class1","440","1.445","637947.121","2867.423","Class1","440","1.45","2827634.59","1736.383","Class1","440","1.46","3006716.43","5396.054",
"3-Heptanone","Class1","445","1.725","44604121.7","35928.508","Class1","445","1.725","31275550.5","26236.955","Class1","445","1.74","210092862","29137.563","Class1","445","1.725","127290566","38817.703","Class1","445","1.725","43913136.7","44808.465","Class1","445","1.73","127349072","36044.109","Class1","445","1.73","9428879.21","6001.836",
"Styrene","Class1","450","1.96","39513146.4","103196.273","Class1","450","1.96","34985381.5","98281.313","Class1","445","1.98","42556207.8","98953.219","Class1","450","1.96","86459254.4","83787.195","Class1","450","1.965","33567527.1","132809.609","Class1","450","1.97","72848195.3","110697.078","Class1","450","1.965","65671528.6","122772.367",
"2,4-Hexadiene","Class1","450","1.45","8085118.64","19000.617","Class1","450","1.455","6781127.72","16325.327","Class1","450","1.47","7216389.04","8569.576","Class1","450","1.45","18473345.0","30971.598","Class1","450","1.455","7021133.67","23756.736","Class1","450","1.455","10556697.9","18680.223","Class1","450","1.45","20462759.2","43076.668",
"2-Heptanone","Class1","450","1.76","4872629.21","10286.659","Class1","450","1.765","2286193.48","5527.333","Class1","450","1.79","54092425.2","46692.852","Class1","450","1.76","9774327.50","16339.434","Class1","450","1.765","4229146.05","9466.306","Class1","450","1.765","23859127.5","36125.828","Class1","450","1.77","1213456.29","2589.410",
"Benzene, 1,3-dimethyl-","Class1","450","1.865","12134427.6","10775.185","Class1","450","1.865","11009434.3","12909.153","Class1","455","1.87","43145630.3","16537.232","Class1","450","1.865","19039112.4","17479.223","Class1","450","1.865","11764273.4","21088.439","Class1","450","1.865","21770560.9","16838.334","Class1","450","1.825","12131309.0","22203.293",
"Cyclopentanone, 2-methyl-","Class1","455","2.335","3848352.28","1754.938","Class1","455","2.345","915429.818","496.729","Class1","450","2.375","13135442.3","3875.064","Class1","455","2.34","5810693.85","1933.597","Class1","455","2.34","1203440.29","841.510","Class1","455","2.335","43193674.0","14302.072","Class1","455","2.34","5478274.91","2138.408",
"Cyclopentene,1-(2-methylpropyl)-","Class1","455","1.455","9123622.58","9879.155","Class1","455","1.46","7639956.07","11630.072","Class1","455","1.475","5027750.24","4680.500","Class1","455","1.46","13809752.8","22817.154","Class1","455","1.46","8566773.61","16582.152","Class1","455","1.46","10996102.8","12037.797","Class1","455","1.465","12601800.6","25677.250",
"Nonane","Class1","460","1.285","485888.820","3226.171","Class1","460","1.285","434546.332","3100.847","Class1","460","1.3","4466747.27","8090.557","Class1","460","1.285","1592639.20","5605.848","Class1","460","1.285","624859.000","3682.012","Class1","460","1.29","1408871.85","4905.221","Class1","460","1.295","1381331.70","6088.927",
"3,4-Difluorobenzaldehyde","Class1","465","2.015","110339.148","228.559","Class1","465","2.015","162425.105","280.243","Class1","465","2.005","947885.230","1662.771","Class1","460","2.035","696230.088","753.197","Class1","465","2.015","281837.277","603.277","Class1","465","2.01","474052.032","930.747","Class1","465","2.035","141678.481","178.403",
"1-Hexene, 2,5,5-trimethyl-","Class1","465","1.32","2180373.79","8682.610","Class1","465","1.325","2772406.43","10267.090","Class1","465","1.335","3843827.44","9211.456","Class1","465","1.325","7407384.35","18112.270","Class1","465","1.33","3699561.66","12563.832","Class1","465","1.325","5754619.14","11831.025","Class1","465","1.32","2861312.27","6260.527",
"Heptanal","Class1","465","1.76","4108850.94","3765.677","Class1","465","1.765","2568398.51","3020.336","Class1","465","1.76","39322918.1","18158.148","Class1","465","1.765","6947001.89","6136.066","Class1","465","1.765","1873319.06","2597.587","Class1","465","1.76","21113158.4","13250.976","Class1","465","1.77","833069.998","659.176",
"Ethanone, 1-(2-methyl-1-cyclopenten-1-yl)-","Class1","475","1.735","3819952.58","13488.555","Class1","475","1.705","2818467.38","11872.524","Class1","475","1.69","6036429.69","9841.039","Class1","470","1.705","119606.604","484.735","Class1","475","1.705","2768317.51","15314.196","Class1","475","1.71","4944077.10","12501.327","Class1","475","1.715","3397985.32","13621.880",
"Analyte 462","Class1","480","1.045","17016.056","136.314","Class1","480","1.04","12111.519","114.694","Class1","485","1.035","77334.665","395.647","Class1","475","1.045","67062.511","298.773","Class1","475","1.045","32356.321","197.201","Class1","480","1.04","56153.269","397.672","Class1","475","1.05","43437.104","232.387",
"2-n-Butyl furan","Class1","480","1.655","45163463.1","27374.363","Class1","480","1.655","32952613.2","22604.428","Class1","480","1.65","29668778.5","7455.849","Class1","480","1.655","35672600.1","31030.691","Class1","480","1.67","20347171.1","46465.320","Class1","480","1.655","23283747.6","25290.326","Class1","480","1.655","70690309.8","62017.734",
"1,3-Hexadiene, 3-ethyl-2-methyl-","Class1","480","1.48","2698062.72","3441.132","Class1","480","1.48","3309322.27","4982.344","Class1","485","1.48","1089473.29","1884.690","Class1","480","1.48","9025432.20","9854.496","Class1","480","1.48","3163167.07","6422.833","Class1","480","1.48","4006804.59","4405.674","Class1","485","1.475","2143332.13","6751.829",
"1,3,5,7-Tetroxane","Class1","490","2.57","72791466.7","114767.539","Class1","490","2.57","52950377.6","92958.063","Class1","495","2.805","157021607","91720.250","Class1","490","2.59","269151555","406386.469","Class1","490","2.57","14597410.8","20276.307","Class1","490","2.65","154151906","142797.297","Class1","490","2.605","281557786","172406.781",
"Butanoic acid, 4-hydroxy-","Class1","490","3.43","670860.345","227.138","Class1","490","3.42","911032.470","317.328","Class1","495","3.45","18755392.6","4702.685","Class1","490","3.4","3446466.42","998.011","Class1","490","3.425","1176826.96","730.916","Class1","500","3.38","6672841.90","1483.879","Class1","490","3.43","1358925.21","364.748",
"Cyclopropene, 1-butyl-2-ethyl-","Class1","495","1.49","6991901.76","4834.272","Class1","495","1.495","8557263.31","5832.370","Class1","495","1.54","41333880.6","16175.710","Class1","495","1.495","21914942.2","10891.083","Class1","495","1.495","7608057.75","7901.411","Class1","495","1.49","10246643.9","5822.736","Class1","495","1.505","16103685.4","8323.085",
"Tricyclo[2.2.1.0(2,6)]heptane, 1,7,7-trimethyl-","Class1","500","1.505","115184.213","478.879","Class1","500","1.51","93629.349","436.552","Class1","500","1.52","3186168.02","10707.969","Class1","500","1.52","232023.659","1029.502","Class1","500","1.53","77420.304","470.777","Class1","500","1.515","222208.722","1037.081","Class1","500","1.51","583614.505","3285.903",
"Benzene, (1-methylethyl)-","Class1","505","1.83","7378125.30","32653.877","Class1","505","1.83","6903581.05","34272.762","Class1","505","1.835","31018404.1","50314.148","Class1","505","1.83","18925841.9","70604.031","Class1","505","1.83","7012001.41","43124.824","Class1","505","1.83","13751579.3","43705.500","Class1","505","1.83","14771971.6","63069.313",
"Benzene, 1-bromo-2-fluoro-","Class1","505","2.08","911885.189","7939.115","Class1","505","2.085","842770.321","6756.010","Class1","505","2.08","1591001.31","8951.691","Class1","505","2.085","1712224.72","11155.258","Class1","505","2.085","746043.574","5873.401","Class1","505","2.085","1469539.04","11089.053","Class1","505","2.085","1286463.12","9598.152",
"Octane, 2,4,6-trimethyl-","Class1","505","1.265","1668305.47","3344.939","Class1","510","1.27","703353.529","3642.574","Class1","510","1.28","4581392.07","9028.744","Class1","505","1.27","4859658.72","7115.401","Class1","510","1.27","726913.056","4236.231","Class1","510","1.27","3302461.33","5954.361","Class1","510","1.275","1725155.11","7612.551",
"Phenol, 3-ethyl-","Class1","515","1.825","10610377.6","24544.840","Class1","515","1.83","7394992.05","17086.941","Class1","515","1.825","10677393.2","24266.607","Class1","515","1.83","22150255.0","34916.391","Class1","515","1.825","8620797.34","28857.662","Class1","515","1.825","16157486.6","42686.109","Class1","515","1.83","13112237.2","28335.428",
"Octane, 2,6-dimethyl-","Class1","520","1.295","471436.116","3490.018","Class1","520","1.295","388251.405","3011.895","Class1","515","1.3","689957.595","2184.822","Class1","520","1.295","1326847.04","6754.002","Class1","520","1.295","400866.341","3372.229","Class1","520","1.295","1137123.68","5716.740","Class1","520","1.3","1082136.03","6280.308",
"1-Hydroxycyclohexanecarboxylic acid","Class1","525","1.665","6897403.39","23992.340","Class1","525","1.665","11093585.8","26765.900","Class1","520","1.67","48468692.7","50730.672","Class1","515","1.67","30396584.6","46898.508","Class1","515","1.67","11176330.2","30223.848","Class1","520","1.66","25541539.1","49789.090","Class1","515","1.67","8887228.08","18333.670",
"Cyclohexane, 1-butenylidene-","Class1","520","1.545","23375163.7","21266.727","Class1","520","1.545","20624212.5","20924.852","Class1","520","1.565","56902266.6","18260.199","Class1","520","1.55","32404418.3","27762.609","Class1","520","1.545","23492579.5","35953.961","Class1","520","1.545","32611744.1","24467.600","Class1","520","1.535","18794206.5","17964.729",
"Phenol, 3-ethyl-","Class1","525","1.83","8138966.95","31574.639","Class1","525","1.835","5245240.96","23458.301","Class1","525","1.845","5093962.36","5477.445","Class1","525","1.835","12819101.4","38527.117","Class1","525","1.84","5550952.48","30558.768","Class1","525","1.835","10042725.2","27683.367","Class1","525","1.835","12591915.9","47331.914",
"Undecane, 6,6-dimethyl-","Class1","530","1.3","325066.000","1969.387","Class1","525","1.305","79035.393","542.456","Class1","530","1.305","5958434.27","4924.081","Class1","530","1.3","864107.431","4030.415","Class1","530","1.3","253527.366","1958.772","Class1","530","1.3","847689.985","3114.783","Class1","530","1.3","967390.038","3805.271",
"Benzene, cyclopropyl-","Class1","540","1.98","29677.531","98.126","Class1","545","1.975","55304.164","134.159","Class1","545","1.965","6418103.07","16859.176","Class1","545","1.975","155149.321","278.319","Class1","545","1.97","51047.551","191.444","Class1","545","1.97","228964.383","761.413","Class1","545","1.97","67175.291","178.780",
"Camphene","Class1","545","1.625","1882608.99","5595.567","Class1","545","1.625","1712042.59","5198.651","Class1","545","1.635","18974664.0","24632.807","Class1","545","1.63","4920760.91","11694.353","Class1","545","1.63","1651165.80","6676.021","Class1","545","1.63","5062501.18","11974.893","Class1","545","1.63","9067618.77","25719.500",
"2,4-Heptadiene, 2,4-dimethyl-","Class1","545","1.845","77651.162","439.161","Class1","545","1.845","55438.848","322.840","Class1","545","1.84","296371.130","1063.212","Class1","545","1.85","199159.956","898.734","Class1","545","1.845","65223.194","447.634","Class1","545","1.845","236610.457","1116.831","Class1","550","1.58","1261381.49","3860.896",
"Benzene, 1-chloro-2-methyl-","Class1","550","2.065","83089.980","288.122","Class1","550","2.065","30549.464","186.014","Class1","555","2.045","536095.499","1938.605","Class1","550","2.065","49411.562","240.963","Class1","550","2.05","23863.208","170.300","Class1","550","2.06","430279.817","774.220","Class1","550","2.065","70076.809","375.677",
"Benzene, propyl-","Class1","555","1.87","17816625.7","23893.838","Class1","555","1.87","13467780.8","23320.951","Class1","555","1.87","62295121.8","53960.516","Class1","555","1.87","39366899.4","158251.766","Class1","555","1.87","14311850.2","35520.703","Class1","555","1.87","28474014.1","35241.258","Class1","555","1.87","33350824.6","50999.648",
"Bicyclo[3.1.0]hex-2-ene, 4-methylene-1-(1-methylethyl)-","Class1","555","1.7","812968.074","2183.863","Class1","555","1.7","916239.385","2867.956","Class1","560","1.68","439042.017","1222.163","Class1","555","1.705","2202040.29","5407.189","Class1","555","1.705","817262.846","3180.647","Class1","555","1.7","833544.332","2059.572","Class1","555","1.7","107569.318","356.181",
"2-Hexene, 4-ethyl-2,3-dimethyl-","Class1","560","1.43","946278.679","3382.331","Class1","560","1.43","913392.483","3539.701","Class1","565","1.435","9561187.37","24866.783","Class1","560","1.44","2968551.25","7656.080","Class1","560","1.41","853650.124","3798.396","Class1","560","1.44","1836551.72","4696.037","Class1","560","1.445","2022953.39","6449.509",
"Hexanal, 2-ethyl-","Class1","560","1.73","51706657.0","106920.688","Class1","560","1.73","20790552.7","51101.328","Class1","565","1.76","226990531","61709.430","Class1","560","1.73","55674318.0","16210.952","Class1","560","1.73","25178726.1","75057.094","Class1","560","1.75","117654991","89795.930","Class1","560","1.73","6283323.11","14992.054",
"2(5H)-Furanone, 5,5-dimethyl-","Class1","560","2.78","628501.365","614.972","Class1","560","2.79","461319.673","526.107","Class1","565","2.75","25566582.3","17298.025","Class1","560","2.79","2292633.83","1295.493","Class1","560","2.795","445865.780","695.732","Class1","560","2.765","10873170.5","7213.409","Class1","560","2.845","273073.780","233.206",
"Trans-1,4-diethylcyclohexane","Class1","565","1.475","3202922.71","10174.285","Class1","565","1.475","2706612.47","8959.710","Class1","565","1.465","13542025.5","24866.783","Class1","565","1.48","8378681.96","16994.102","Class1","565","1.47","1603453.34","10185.561","Class1","565","1.475","5396343.92","12942.778","Class1","565","1.48","3320793.62","15465.004",
"o-Menth-8-ene","Class1","565","1.52","232215.332","764.790","Class1","565","1.52","246605.148","969.346","Class1","565","1.525","536927.869","1241.212","Class1","565","1.53","455406.454","1607.942","Class1","565","1.505","182430.846","955.999","Class1","565","1.525","242526.461","853.877","Class1","565","1.525","824511.695","4202.872",
"Octane, 2,7-dimethyl-","Class1","565","1.355","3829790.72","8042.593","Class1","565","1.35","3915988.60","5541.061","Class1","565","1.34","3067027.09","2487.318","Class1","570","1.34","4545396.36","4807.565","Class1","570","1.33","4783353.96","6661.881","Class1","565","1.35","6665107.37","4445.459","Class1","565","1.355","6593416.29","12645.373",
"Nonane, 2-methyl-","Class1","570","1.265","3520018.41","2787.444","Class1","570","1.27","3190476.41","3067.611","Class1","565","1.275","5950508.15","1301.400","Class1","570","1.26","1488116.05","2022.363","Class1","565","1.27","1983695.81","2709.986","Class1","565","1.26","1630648.89","1313.974","Class1","570","1.25","1709796.97","1494.758",
"3-Nonene, 3-methyl-, (E)-","Class1","565","1.44","1413475.26","5710.438","Class1","570","1.435","560919.406","4958.600","Class1","570","1.485","3326371.32","10535.048","Class1","570","1.45","1560140.48","11542.624","Class1","570","1.44","525043.454","5505.171","Class1","570","1.45","1085633.79","7968.103","Class1","570","1.455","4147444.75","18499.744",
"1,3-Hexadiene, 3-ethyl-2-methyl-","Class1","570","1.595","1044786.84","2017.858","Class1","570","1.59","1274744.82","2632.232","Class1","570","1.615","546549.034","1599.553","Class1","570","1.6","4232076.06","6153.584","Class1","570","1.595","1339770.61","3145.176","Class1","570","1.6","1917204.39","2928.616","Class1","565","1.6","3544559.33","9073.104",
"Benzene, 1-ethyl-2-methyl-","Class1","570","1.9","15209311.5","38747.910","Class1","570","1.9","12002128.0","35997.457","Class1","575","1.905","48123019.6","55715.629","Class1","570","1.905","25250089.4","71726.898","Class1","570","1.9","12690291.6","47473.438","Class1","570","1.905","23183018.5","51583.430","Class1","570","1.905","29857722.1","64634.105",
"Benzaldehyde","Class1","570","2.565","22956277.3","48133.188","Class1","570","2.57","24082239.4","56227.996","Class1","575","2.545","110780184","109472.391","Class1","570","2.57","62209176.8","105210.711","Class1","570","2.57","26536857.8","85611.961","Class1","570","2.565","88943610.6","104462.547","Class1","570","2.595","4361971.05","8042.540",
"Tridecane","Class1","585","1.325","22364089.7","13126.015","Class1","590","1.36","11880213.5","19049.895","Class1","580","1.335","10581751.4","9954.053","Class1","585","1.325","35242464.6","18190.355","Class1","590","1.31","22072071.6","23556.287","Class1","585","1.32","11477070.5","12980.173","Class1","585","1.325","11046154.2","15964.234",
"o-Cymene","Class1","585","1.77","3937927.05","11086.357","Class1","585","1.775","4585832.34","14987.350","Class1","590","1.785","13899488.2","32298.178","Class1","585","1.77","11231890.7","34228.316","Class1","585","1.77","3714206.45","18228.289","Class1","585","1.77","7914986.60","17644.553","Class1","585","1.77","3793347.11","9550.637",
"Octane, 2,2,6-trimethyl-","Class1","590","1.4","6137426.86","7519.147","Class1","590","1.325","7094488.02","6704.815","Class1","590","1.43","10453091.4","5012.954","Class1","590","1.42","25565938.5","8475.633","Class1","585","1.3","5597604.06","7758.594","Class1","590","1.41","7517883.01","5378.415","Class1","585","1.3","2392458.89","4794.725",
"Trans-1-methyl-2-nonyl-cyclohexane","Class1","590","1.505","2160532.47","5870.715","Class1","590","1.505","1963521.18","5810.186","Class1","590","1.51","15893584.7","14478.983","Class1","590","1.495","6639668.47","10151.803","Class1","590","1.49","1672379.90","6402.618","Class1","590","1.495","3146521.32","7193.322","Class1","590","1.495","3835977.32","10738.884",
"5-Undecene, 3-methyl-, (E)-","Class1","595","1.45","1628628.51","7040.086","Class1","595","1.455","972185.270","7188.981","Class1","595","1.445","1758195.07","8034.044","Class1","595","1.435","4479836.49","15802.824","Class1","595","1.42","1507889.27","7574.031","Class1","595","1.46","1548741.24","8398.921","Class1","595","1.47","2085761.15","12819.498",
"á-Pinene","Class1","595","1.7","15246986.3","26847.020","Class1","595","1.705","7224247.50","15256.707","Class1","595","1.71","82905793.4","42176.180","Class1","595","1.705","26275318.3","39971.961","Class1","595","1.705","7790275.13","21855.424","Class1","595","1.705","29006212.6","40341.625","Class1","595","1.705","4102711.34","6499.725",
"Cyclohexane, 1-ethyl-2,4-dimethyl-","Class1","600","1.495","1045722.17","3577.094","Class1","600","1.495","977227.551","3887.308","Class1","600","1.505","19254013.6","16108.769","Class1","600","1.5","2502290.06","7232.370","Class1","600","1.5","815048.798","3856.789","Class1","605","1.495","3492413.26","3907.427","Class1","600","1.495","3625906.36","7687.643",
"Benzene, 1-ethyl-2-methyl-","Class1","605","1.97","8405887.13","17662.176","Class1","605","1.975","6421297.71","13405.521","Class1","605","1.99","106955557","66812.508","Class1","605","1.975","17757177.3","27826.570","Class1","605","1.975","6429097.58","18992.086","Class1","605","1.975","28537751.6","40161.570","Class1","605","1.975","17709196.8","32547.309",
"Nonane, 2,6-dimethyl-","Class1","610","1.34","2631098.42","9134.409","Class1","610","1.34","2268642.49","6968.492","Class1","610","1.365","3378440.92","9838.952","Class1","610","1.345","6022296.11","13882.970","Class1","610","1.34","2325730.61","8586.837","Class1","610","1.345","3015212.58","11016.326","Class1","610","1.345","4832237.17","14293.804",
"Cyclohexane, (1,1-dimethylethyl)-","Class1","610","1.525","1909641.79","2399.179","Class1","610","1.54","1766121.66","2526.711","Class1","610","1.55","6474652.28","5717.696","Class1","610","1.545","3997949.30","4490.225","Class1","610","1.52","1942864.07","2826.652","Class1","610","1.52","2649730.32","2838.499","Class1","610","1.525","3286144.02","4669.674",
"à-Methylstyrene","Class1","610","2.065","2404861.56","7624.653","Class1","610","2.07","1998988.24","5632.617","Class1","610","2.07","16601274.2","61114.520","Class1","610","2.065","4805395.55","12577.211","Class1","610","2.065","1761593.49","7238.185","Class1","610","2.065","8778494.48","29905.127","Class1","610","2.06","5125577.23","16748.461",
"1H-Indene, octahydro-, cis-","Class1","615","1.74","33474.561","201.697","Class1","615","1.74","33834.113","226.565","Class1","615","1.745","758657.372","2895.143","Class1","615","1.74","101775.911","479.009","Class1","615","1.74","31173.736","248.267","Class1","615","1.74","75697.664","358.335","Class1","615","1.735","77886.823","459.564",
"Benzonitrile","Class1","615","2.745","1231790.02","1875.406","Class1","615","2.78","711907.088","734.105","Class1","615","2.71","30583425.5","35001.102","Class1","615","2.76","2104891.42","2107.511","Class1","615","2.78","605030.067","1129.639","Class1","615","2.72","7203497.11","11717.630","Class1","615","2.835","442638.113","479.323",
"3-Octanone","Class1","615","1.83","298835.051","807.745","Class1","615","1.84","85621.580","330.024","Class1","620","1.825","6315916.36","11802.478","Class1","615","1.84","523281.679","1063.892","Class1","615","1.84","123365.249","442.104","Class1","615","1.825","2340431.69","4830.388","Class1","615","1.85","37676.840","101.432",
"octanone (2-)","Class1","625","1.85","48787.226","226.101","Class1","625","1.85","29323.810","146.096","Class1","625","1.9","1547066.75","2049.780","Class1","625","1.855","183317.089","471.075","Class1","625","1.85","44091.998","203.450","Class1","625","1.855","451569.976","1473.229","Class1","625","1.87","27923.875","104.927",
"Benzene, 1,2,3-trimethyl-","Class1","630","1.94","12905039.3","43003.047","Class1","630","1.94","9463292.57","28229.941","Class1","625","1.965","29965780.7","43481.371","Class1","630","1.94","26090051.8","66754.438","Class1","630","1.94","9449366.93","38968.586","Class1","625","1.96","29363466.8","48710.980","Class1","630","1.94","25308052.9","75397.383",
"Cyclooctane, 1,2-diethyl-","Class1","630","1.47","24005434.3","78462.805","Class1","630","1.465","18393169.1","69531.547","Class1","630","1.495","31497932.1","72010.227","Class1","630","1.485","52638343.1","108648.289","Class1","630","1.47","16427503.5","71494.805","Class1","630","1.48","24933309.2","70600.625","Class1","630","1.48","33819942.8","79985.742",
"Benzofuran","Class1","635","2.41","5151366.41","19557.670","Class1","635","2.42","5075912.70","20241.131","Class1","635","2.41","30878924.7","93102.938","Class1","635","2.415","11709495.8","39383.375","Class1","635","2.415","4357304.82","22161.867","Class1","635","2.415","10656982.4","39745.391","Class1","635","2.42","8808349.57","31793.852",
"Cyclotetrasiloxane, octamethyl-","Class1","640","1.195","8623806.08","43058.285","Class1","635","1.205","2764565.26","14585.292","Class1","635","1.21","20524733.2","70020.523","Class1","635","1.205","7894719.91","36381.207","Class1","635","1.205","2379022.75","12395.104","Class1","640","1.195","30148525.8","110966.336","Class1","635","1.205","899353.004","4405.584",
