,"Baboon 8B:1",,,,,"Baboon 9B:1",,,,,"Baboon 12B:1",,,,,"Baboon 11B:1",,,,,"Baboon 13B:1",,,,,"Baboon 5B:1",,,,,"Baboon 7B:1",,,,,
Peak,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,
"(Z)-2-Heptene","Class1","210","1.13","8675689.32","14767.287","Class1","210","1.135","10701982.8","20312.941","Class1","210","1.135","23362363.2","15911.052","Class1","210","1.105","34485358.6","29110.750","Class1","210","1.13","19214990.9","24580.863","Class1","210","1.13","22759670.6","17984.547","Class1","210","1.13","21015756.7","22255.668",
"Furan, 2-ethyl-","Class1","215","1.305","2201518.32","3896.840","Class1","215","1.31","2219213.23","4114.126","Class1","210","1.18","1281148.18","2685.264","Class1","215","1.31","5059348.75","6671.087","Class1","215","1.31","1824182.53","7038.732","Class1","215","1.31","3196013.12","4535.687","Class1","215","1.305","4149186.08","6957.078",
"tridecane","Class1","225","1.08","2546853.60","2172.976","Class1","225","1.085","1407200.77","1197.160","Class1","225","1.105","95390000.0","28132.129","Class1","225","1.085","4177524.41","2161.324","Class1","225","1.09","820078.539","1353.742","Class1","225","1.08","3054916.45","2892.141","Class1","230","1.085","2853584.91","2452.990",
"Butanenitrile, 2-methyl-","Class1","230","1.56","194862.339","201.361","Class1","230","1.56","79867.561","112.982","Class1","225","1.57","196994.680","107.252","Class1","230","1.56","421464.878","307.072","Class1","230","1.56","227902.951","353.954","Class1","230","1.56","1275203.26","894.665","Class1","230","1.56","247396.775","194.571",
"Butanenitrile, 3-methyl-","Class1","235","1.59","966454.736","423.583","Class1","235","1.595","590769.287","261.971","Class1","230","1.615","39921842.8","4725.482","Class1","235","1.595","1004429.17","451.697","Class1","235","1.595","931315.081","587.952","Class1","235","1.595","3992732.72","1465.736","Class1","235","1.6","866742.546","418.845",
"Pyrazine","Class1","240","1.82","219544.688","229.942","Class1","240","1.815","87028.589","145.564","Class1","235","1.775","24719498.7","20849.189","Class1","240","1.81","342785.726","348.213","Class1","240","1.8","169158.462","328.379","Class1","240","1.795","1888048.57","1284.621","Class1","240","1.81","110102.913","178.620",
"Methyl Isobutyl Ketone","Class1","245","1.405","15729462.3","7674.709","Class1","245","1.405","12785881.1","5390.863","Class1","240","1.39","143895104","16555.520","Class1","245","1.405","45851923.9","12531.484","Class1","245","1.405","17697590.5","10435.040","Class1","245","1.405","41292621.2","52729.121","Class1","245","1.4","24869305.2","7780.959",
"Disulfide, dimethyl","Class1","245","1.595","141483.588","316.481","Class1","245","1.6","51011.601","180.315","Class1","245","1.6","4105074.47","6835.115","Class1","245","1.595","342389.096","612.980","Class1","245","1.595","1296025.77","4273.905","Class1","250","1.585","175404.648","518.398","Class1","245","1.595","216304.060","510.213",
"Diphosphoric acid, diisooctyl ester","Class1","250","1.15","7514505.87","3701.573","Class1","250","1.15","10093136.7","5328.433","Class1","250","1.17","71760659.4","7811.622","Class1","245","1.145","10178919.9","7627.614","Class1","250","1.15","4594909.31","6514.386","Class1","255","1.15","23678683.3","5417.472","Class1","250","1.15","17653281.2","7519.757",
"1,3-Pentadiene, 2,3-dimethyl-","Class1","255","1.27","4700697.56","7500.687","Class1","255","1.27","6515537.71","10848.772","Class1","255","1.265","16130471.5","11102.478","Class1","255","1.27","15841944.1","18339.865","Class1","255","1.27","7218666.28","17153.750","Class1","255","1.27","9707097.44","11055.599","Class1","255","1.27","15792041.4","21683.398",
