,"Baboon 6B:1",,,,,"Baboon 3B:1",,,,,"Baboon 10B:1",,,,,"Baboon 2B:1",,,,,"Baboon 4B:1",,,,,"Baboon 1B:1",,,,,
Peak,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,
"4-Nonene","Class1","455","1.365","2849000.77","17673.111","Class1","455","1.375","2600296.89","11594.453","Class1","455","1.36","9530708.48","27327.516","Class1","455","1.37","4972495.05","24670.498","Class1","455","1.37","5186350.55","29200.570","Class1","455","1.365","13200844.4","31636.227",
"Cyclohexane, 1,3-dimethyl-2-methylene-, trans-","Class1","455","1.48","8390134.38","10715.977","Class1","455","1.475","3615690.89","3010.322","Class1","455","1.455","8701009.70","14665.891","Class1","455","1.46","11314906.0","13188.693","Class1","455","1.46","14924999.3","22999.369","Class1","455","1.46","19350623.9","28980.496",
"Cyclopentanone, 2-methyl-","Class1","455","2.335","2238196.04","1114.640","Class1","455","2.39","204532193","23926.219","Class1","455","2.345","1525251.40","650.050","Class1","455","2.335","22028047.5","7418.072","Class1","455","2.335","8057378.43","3531.390","Class1","455","2.34","2135361.56","881.835",
"2,2-Dimethylpropionic acid, 4-methylpentyl ester","Class1","460","1.295","461258.674","3071.083","Class1","460","1.3","3444759.33","6131.008","Class1","460","1.28","1013396.07","4917.917","Class1","460","1.285","1712804.38","6404.631","Class1","460","1.285","1266465.12","5721.234","Class1","460","1.285","1412915.79","5985.496",
"2,3-Dimethyl-3-heptene, (Z)-","Class1","460","1.39","3961353.77","23118.355","Class1","465","1.36","1636901.84","6098.509","Class1","460","1.38","10692181.5","30642.787","Class1","460","1.39","8015672.63","27405.498","Class1","460","1.395","8849446.86","34244.953","Class1","460","1.405","9602594.52","33658.918",
"Heptanal","Class1","465","1.76","4839137.77","5472.941","Class1","465","1.775","35272441.0","15615.833","Class1","465","1.76","5293214.23","6213.512","Class1","465","1.76","14857547.7","8792.160","Class1","465","1.76","6999972.62","6564.920","Class1","465","1.765","1471734.28","1298.633",
"1-Nonanol, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluoro-","Class1","475","1.05","45151.943","217.440","Class1","485","1.04","40148.176","237.756","Class1","475","1.045","40540.419","268.868","Class1","480","1.045","47928.903","379.770","Class1","480","1.045","37477.468","177.287","Class1","475","1.05","34488.717","180.947",
"2-n-Butyl furan","Class1","480","1.65","79008779.8","97663.297","Class1","480","1.65","15984797.9","26680.266","Class1","480","1.655","99185605.6","104747.664","Class1","475","1.65","35819179.5","73245.922","Class1","480","1.655","72344011.7","105221.813","Class1","475","1.655","37500793.5","87111.023",
"1,3-Hexadiene, 3-ethyl-2-methyl-","Class1","480","1.48","2955743.11","3793.004","Class1","480","1.48","1571819.88","1428.046","Class1","480","1.48","4284681.64","6045.007","Class1","480","1.48","3121774.99","4707.715","Class1","480","1.48","7026898.69","7898.696","Class1","480","1.48","9111960.46","12738.026",
"Cyclopropane, (1,2-dimethylpropyl)-","Class1","480","1.335","8670959.90","17856.457","Class1","480","1.335","10176351.9","9668.687","Class1","480","1.335","10900431.3","24109.201","Class1","480","1.335","15197114.6","21833.133","Class1","480","1.34","15662884.8","28996.285","Class1","480","1.34","24016553.9","37849.230",
"Heptane, 2,3,6-trimethyl-","Class1","490","1.28","15798436.6","18009.354","Class1","485","1.275","43078028.5","10030.912","Class1","485","1.275","13420668.8","17679.469","Class1","490","1.275","44490394.8","83073.328","Class1","490","1.275","38874174.1","95087.453","Class1","485","1.28","58448522.3","96213.031",
"1,3,5,7-Tetroxane","Class1","490","2.555","2111340.41","1554.251","Class1","490","2.655","20944074.1","7969.066","Class1","490","2.56","4642127.27","3955.641","Class1","490","2.65","22378298.7","17460.064","Class1","495","2.645","49739402.1","22281.404","Class1","490","2.575","1931772.41","1008.537",
"3-Octene, 2,2-dimethyl-","Class1","495","1.315","1038056.88","2751.430","Class1","490","1.345","1151908.96","4122.896","Class1","490","1.335","2377452.79","6803.874","Class1","490","1.34","992905.634","6807.477","Class1","490","1.34","1924610.56","8646.249","Class1","490","1.345","2912581.83","13273.356",
"Butyrolactone","Class1","495","3.44","29674.842","120.455","Class1","495","3.43","2347849.23","4008.345","Class1","490","3.56","43468.435","114.816","Class1","495","3.45","963559.094","1141.061","Class1","490","3.42","980821.043","1572.686","Class1","490","3.58","158040.588","28.413",
"Cyclohexane, propyl-","Class1","495","1.465","71349.253","408.057","Class1","495","1.47","1223066.05","5135.341","Class1","495","1.465","96270.702","490.614","Class1","495","1.465","223581.451","1063.486","Class1","495","1.465","146009.949","759.506","Class1","495","1.47","198596.351","1005.796",
"2-Ethyl-4,6-dimethyltetrahydropyran","Class1","495","1.655","1729441.21","6689.819","Class1","495","1.655","3324745.45","9433.852","Class1","495","1.665","3227288.97","11660.383","Class1","495","1.655","5001714.93","15184.479","Class1","495","1.66","4344041.46","15347.957","Class1","495","1.665","3311219.13","12011.003",
"Anisole","Class1","495","2.215","41888.265","128.953","Class1","495","2.185","18582934.5","38793.586","Class1","495","2.23","85984.388","243.683","Class1","495","2.205","770169.220","1618.024","Class1","495","2.215","126558.744","444.555","Class1","495","2.23","107725.335","221.197",
"2,4,4-Trimethyl-1-hexene","Class1","500","1.36","15167165.9","19739.016","Class1","500","1.365","17324135.4","12437.488","Class1","500","1.355","18915821.3","23633.436","Class1","500","1.36","20723442.2","27157.287","Class1","500","1.36","24813979.0","32199.180","Class1","500","1.365","34890066.2","40743.219",
"Tricyclo[2.2.1.0(2,6)]heptane, 1,7,7-trimethyl-","Class1","500","1.505","130977.379","514.763","Class1","500","1.52","2406297.45","8616.427","Class1","500","1.505","107979.260","592.060","Class1","500","1.515","300533.282","1399.904","Class1","500","1.51","226718.756","1304.891","Class1","500","1.515","272988.728","1580.728",
"2-Hexenal, 2-ethyl-","Class1","500","1.66","387251.108","2159.830","Class1","500","1.66","2109807.15","7820.567","Class1","500","1.66","857176.335","4583.197","Class1","500","1.66","840431.909","3252.442","Class1","500","1.66","696425.998","3643.983","Class1","500","1.66","933886.060","5028.630",
"Benzene, (1-methylethyl)-","Class1","505","1.83","7593785.16","33836.863","Class1","505","1.835","22884049.4","43161.078","Class1","505","1.83","12551130.2","62051.781","Class1","505","1.83","14833971.4","51490.457","Class1","505","1.83","13953891.4","64847.824","Class1","505","1.835","18178341.3","78621.242",
"Benzene, 1-bromo-3-fluoro-","Class1","505","2.08","876836.394","6494.985","Class1","505","2.08","1366944.40","8577.344","Class1","505","2.085","1340302.18","8399.238","Class1","505","2.085","1660985.08","12550.673","Class1","505","2.085","1558484.10","12333.803","Class1","505","2.085","1626289.03","12033.905",
"Octane, 2,2,6-trimethyl-","Class1","510","1.27","856645.887","4061.293","Class1","510","1.28","3474317.41","8122.866","Class1","510","1.27","875230.957","3856.665","Class1","510","1.27","3062201.36","6270.190","Class1","505","1.265","1465449.44","5962.038","Class1","510","1.275","2382329.40","10203.885",
"Cyclohexane, propyl-","Class1","510","1.465","608162.803","2009.735","Class1","515","1.465","5618536.42","14839.866","Class1","510","1.465","844736.884","3115.969","Class1","510","1.47","1551856.96","4278.155","Class1","510","1.47","1098763.89","3825.262","Class1","510","1.47","1743851.94","4912.456",
"Phenol, 4-ethyl-","Class1","515","1.825","9297454.96","19294.986","Class1","515","1.825","6770864.77","16158.939","Class1","510","1.845","10370767.6","17355.326","Class1","515","1.825","18431902.2","52845.410","Class1","515","1.825","20147997.7","49242.969","Class1","515","1.83","12356081.4","27891.195",
"Octane, 2,6-dimethyl-","Class1","520","1.295","526070.152","3741.571","Class1","515","1.3","722269.878","2479.024","Class1","520","1.29","558119.770","3646.932","Class1","520","1.295","1262099.12","7124.424","Class1","520","1.295","1155221.31","6494.862","Class1","520","1.3","1371516.47","9298.673",
"3-Octen-5-yne, 2,7-dimethyl-, (E)-","Class1","520","1.545","12815902.3","13576.987","Class1","520","1.56","42105776.8","11362.287","Class1","520","1.54","22741601.5","20703.900","Class1","520","1.55","32150722.9","20621.744","Class1","520","1.545","28732743.3","24349.730","Class1","520","1.555","38822157.4","27731.184",
"1-Methylpentyl cyclopropane","Class1","520","1.37","38115373.7","12269.090","Class1","525","1.375","30094274.5","10070.205","Class1","525","1.365","47128608.5","26637.836","Class1","525","1.37","69573438.9","22619.676","Class1","525","1.37","64185394.3","28095.268","Class1","525","1.385","63663555.5","32692.781",
"Furan, 2,5-diethyltetrahydro-","Class1","525","1.665","7113470.76","24342.756","Class1","520","1.67","35627656.5","45506.598","Class1","525","1.665","8294968.57","26391.068","Class1","525","1.67","18795589.6","49709.227","Class1","525","1.665","16177258.9","47547.449","Class1","525","1.67","9733098.61","29898.068",
"Phenol, 3-ethyl-","Class1","525","1.835","5280698.43","20251.102","Class1","525","1.865","3430160.86","3767.710","Class1","525","1.835","6596308.26","25148.766","Class1","525","1.835","13228021.4","39901.777","Class1","525","1.835","16267773.5","65049.816","Class1","525","1.84","6115953.14","22921.232",
"Ethanone, 1-(3-ethylcyclobutyl)-","Class1","525","1.74","255670.525","1070.584","Class1","530","1.72","1142788.04","3767.766","Class1","525","1.735","357726.495","1761.471","Class1","525","1.74","723537.172","2250.536","Class1","525","1.74","570291.135","2298.561","Class1","525","1.74","305521.948","1366.119",
"Sulfurous acid, butyl 2-ethylhexyl ester","Class1","530","1.32","1500482.60","1555.528","Class1","535","1.315","10925927.7","10745.422","Class1","530","1.325","717303.867","1728.755","Class1","530","1.3","3050413.09","3313.038","Class1","530","1.3","1203135.48","2251.732","Class1","530","1.305","1451434.32","2834.764",
"9-Oxabicyclo[3.3.1]nona-2,6-diene","Class1","530","1.845","634236.819","2440.592","Class1","535","1.85","187626.917","585.226","Class1","530","1.86","862628.533","3047.838","Class1","530","1.85","1311386.67","5142.693","Class1","530","1.865","2487697.08","6653.568","Class1","530","1.86","879975.515","3213.792",
"Cyclopropanecarboxyllic acid, tridec-2-ynyl ester","Class1","535","1.685","1291815.64","1401.144","Class1","535","1.695","2138409.27","1931.615","Class1","535","1.685","2575188.96","2201.042","Class1","535","1.685","3392453.96","2973.807","Class1","535","1.685","3132659.25","2601.591","Class1","535","1.69","1082452.59","1552.380",
"Cyclopentane, 1-acetyl-1,2-epoxy-","Class1","540","1.795","155903.495","278.337","Class1","545","1.795","5051513.93","6029.689","Class1","540","1.82","211722.481","295.296","Class1","540","1.805","1059310.96","1340.060","Class1","540","1.815","606259.597","893.872","Class1","540","1.82","193485.142","292.566",
"2-Methyl-1-nonene","Class1","545","1.37","17643971.7","12349.466","Class1","545","1.375","23248827.8","9865.842","Class1","540","1.375","9605476.63","12656.290","Class1","545","1.375","30880706.9","16483.693","Class1","540","1.375","30252585.4","15646.234","Class1","545","1.375","43630348.7","27276.389",
"Camphene","Class1","545","1.625","5034135.74","7699.309","Class1","545","1.635","37029505.8","23856.396","Class1","545","1.625","6063563.98","10390.284","Class1","545","1.63","11968900.7","16674.209","Class1","545","1.625","12804406.3","21396.813","Class1","545","1.63","14175204.9","23673.063",
"Ethylidenecycloheptane","Class1","545","1.84","70151.277","383.401","Class1","545","1.84","231571.788","1011.575","Class1","545","1.845","95620.749","377.421","Class1","545","1.845","257484.707","1257.614","Class1","545","1.845","203782.520","1121.940","Class1","545","1.85","77827.880","443.044",
"Benzene, cyclopropyl-","Class1","545","1.97","23901.841","129.236","Class1","545","1.965","3580733.44","13793.222","Class1","545","1.975","59748.157","157.764","Class1","545","1.965","167248.329","687.286","Class1","545","1.975","79635.848","309.866","Class1","545","1.975","46940.845","253.563",
"Benzene, 1-chloro-2-methyl-","Class1","550","2.055","31290.166","175.846","Class1","550","2.055","38834.552","179.239","Class1","550","2.06","53687.653","281.506","Class1","550","2.06","115603.352","306.702","Class1","550","2.065","321572.655","663.172","Class1","550","2.07","62975.524","219.321",
"Benzene, propyl-","Class1","555","1.865","9662034.31","14579.296","Class1","555","1.87","50915587.3","47319.320","Class1","555","1.87","24770480.4","43936.543","Class1","555","1.87","47430006.1","199701.406","Class1","555","1.87","33502573.5","52632.965","Class1","555","1.87","23524343.9","38567.672",
"Bicyclo[3.1.0]hex-2-ene, 4-methylene-1-(1-methylethyl)-","Class1","555","1.7","677933.344","1856.153","Class1","560","1.68","337275.646","1161.471","Class1","555","1.7","985845.088","3050.427","Class1","555","1.695","992091.976","2678.927","Class1","555","1.7","1218959.70","3768.482","Class1","555","1.705","2193894.85","6383.676",
"Octane, 4-ethyl-","Class1","555","1.325","2913528.27","8731.804","Class1","560","1.325","5938933.83","5575.741","Class1","555","1.32","3822987.77","11096.210","Class1","555","1.32","5114944.74","11752.124","Class1","555","1.325","5149622.60","14742.001","Class1","555","1.325","7488530.27","17923.375",
"2-Octene, 3,7-dimethyl-, (Z)-","Class1","560","1.39","29205500.3","17745.115","Class1","560","1.415","21030331.5","13885.524","Class1","560","1.39","10024034.6","19414.037","Class1","560","1.395","50722806.2","22172.514","Class1","560","1.39","38126518.7","27957.984","Class1","560","1.395","24807761.9","36863.902",
"Hexanal, 2-ethyl-","Class1","560","1.73","27694419.0","59122.848","Class1","565","1.705","75452258.0","65258.875","Class1","560","1.73","41126961.7","78002.695","Class1","555","1.745","37596983.6","45515.629","Class1","560","1.73","91148149.7","115305.852","Class1","560","1.73","22437615.7","50180.430",
"2(5H)-Furanone, 5,5-dimethyl-","Class1","560","2.775","618797.618","314.975","Class1","565","2.76","24597781.7","9982.512","Class1","560","2.835","548895.093","171.481","Class1","560","2.77","5658626.49","1860.208","Class1","560","2.775","3984784.53","1237.134","Class1","560","2.85","384005.839","153.235",
"Cyclohexane, 1,2-diethyl-, cis-","Class1","565","1.475","3559850.73","9823.235","Class1","565","1.46","8393435.36","26637.537","Class1","565","1.47","3873300.65","11318.783","Class1","565","1.47","6982396.66","14947.690","Class1","565","1.475","5066267.23","16056.882","Class1","565","1.48","4513929.98","21720.982",
"1,3-Hexadiene, 3-ethyl-2-methyl-","Class1","570","1.595","1223882.65","2225.621","Class1","570","1.605","351546.557","1118.556","Class1","570","1.58","1556956.01","3328.155","Class1","565","1.6","500213.835","2140.688","Class1","570","1.595","2724261.13","4830.548","Class1","570","1.605","4247812.28","7906.325",
"Benzaldehyde","Class1","570","2.565","22470869.5","49948.688","Class1","570","2.58","3900317.68","6891.314","Class1","570","2.565","49867269.3","112529.609","Class1","570","2.57","63669751.6","107170.844","Class1","570","2.57","69412337.7","130529.961","Class1","570","2.575","15338259.4","38820.645",
"Benzene, 1-ethyl-2-methyl-","Class1","570","1.9","10018476.0","25392.033","Class1","575","1.91","39996057.1","53516.879","Class1","570","1.885","12703982.3","76563.195","Class1","570","1.9","31291119.2","77276.383","Class1","570","1.9","31892818.5","73183.836","Class1","570","1.91","15361590.0","44479.898",
"Cyclohexane, 1,1-dimethyl-2-propyl-","Class1","580","1.385","10418767.9","4052.772","Class1","580","1.42","9142698.01","4408.199","Class1","580","1.375","12269063.0","5025.122","Class1","580","1.395","8364513.14","4991.124","Class1","580","1.395","9175409.62","6944.878","Class1","580","1.39","27666290.4","10652.743",
"1,3,5-Cycloheptatriene, 3,7,7-trimethyl-","Class1","585","1.77","3889562.02","11518.652","Class1","585","1.82","18918989.3","19084.912","Class1","585","1.77","7243035.63","25065.518","Class1","585","1.77","11656380.4","26341.766","Class1","585","1.77","8697285.81","26726.902","Class1","585","1.77","10485633.7","40670.938",
"2,4-Dodecadienal, (E,E)-","Class1","585","1.525","1563166.07","1940.042","Class1","585","1.53","14036322.9","13174.052","Class1","590","1.525","4281202.32","2885.608","Class1","585","1.525","3303196.68","3905.041","Class1","585","1.52","2627524.40","2993.918","Class1","585","1.515","3516470.57","3973.963",
"m-Menthane, (1S,3S)-(+)-","Class1","590","1.5","2245098.41","6188.153","Class1","590","1.5","13743216.1","14893.913","Class1","590","1.49","2499365.12","6355.394","Class1","590","1.49","8133804.42","8872.397","Class1","590","1.49","5025940.68","9037.512","Class1","590","1.505","4493156.52","12600.005",
"á-Pinene","Class1","595","1.705","14278868.7","25568.566","Class1","600","1.695","60946443.1","45410.785","Class1","595","1.7","8098194.13","17005.250","Class1","595","1.705","35078148.4","50125.371","Class1","595","1.705","21217332.7","42046.375","Class1","595","1.71","29756633.3","50032.582",
"Cyclohexane, 1-ethyl-1,3-dimethyl-, cis-","Class1","600","1.495","1130158.50","4108.528","Class1","595","1.5","11021057.3","13144.854","Class1","600","1.49","1257950.67","4564.259","Class1","600","1.495","1990215.17","6344.461","Class1","600","1.495","1663793.10","6271.211","Class1","600","1.5","2633420.20","10385.759",
"1-Octen-3-one","Class1","600","1.93","406883.092","590.364","Class1","605","1.91","3223469.25","4506.955","Class1","600","1.94","442723.274","425.274","Class1","600","1.92","3622229.72","2290.907","Class1","600","1.93","1188023.14","961.880","Class1","600","1.95","148470.369","149.461",
"Benzene, 1-ethyl-2-methyl-","Class1","605","1.97","6863713.41","13281.942","Class1","605","1.99","71069320.4","71047.711","Class1","605","1.975","12422780.9","19390.777","Class1","605","1.975","48091019.0","185461.531","Class1","605","1.975","24187807.0","49894.742","Class1","605","1.98","12486626.4","29272.820",
"3-Heptanol, 2,3-dimethyl-","Class1","605","1.615","4166662.83","6650.419","Class1","610","1.61","4565115.65","7918.255","Class1","605","1.615","1469119.19","5048.177","Class1","605","1.625","9335518.11","16867.721","Class1","605","1.625","1048153.82","3383.452","Class1","605","1.63","634626.486","1996.566",
"Ethanone, 1-(1-methylcyclohexyl)-","Class1","605","1.47","7174192.40","9582.438","Class1","610","1.46","29142789.8","28403.572","Class1","610","1.45","2733289.64","5241.789","Class1","605","1.48","10347257.1","13537.803","Class1","605","1.475","8213557.69","13627.250","Class1","605","1.485","10439139.6","14300.585",
"Octane, 2,3,6-trimethyl-","Class1","610","1.34","1546786.63","8659.457","Class1","610","1.355","2819218.54","8198.006","Class1","605","1.375","3707534.20","15189.788","Class1","610","1.34","4185146.42","12548.793","Class1","610","1.34","4413860.25","13435.895","Class1","610","1.355","5056262.61","16908.877",
"à-Methylstyrene","Class1","610","2.06","2299128.57","6749.826","Class1","610","2.07","15668255.2","54569.758","Class1","605","2.09","3474838.80","10941.061","Class1","610","2.06","8540946.45","32111.359","Class1","610","2.065","5887428.64","19519.637","Class1","610","2.07","4476634.23","17125.070",
"3-Methylbut-2-enoic acid, 4-nitrophenyl ester","Class1","615","1.8","157644.741","337.676","Class1","615","1.795","1046329.55","911.805","Class1","610","1.82","882130.897","1166.141","Class1","615","1.795","668004.291","623.823","Class1","610","1.82","405050.861","409.049","Class1","615","1.805","1399858.57","1458.917",
"3-Heptene, 3-ethyl-","Class1","615","1.91","66486.201","206.307","Class1","615","1.915","171133.422","394.604","Class1","615","1.915","91385.108","231.625","Class1","615","1.91","237117.223","448.465","Class1","615","1.915","120694.673","330.308","Class1","615","1.915","52556.893","161.698",
"Benzonitrile","Class1","615","2.74","1255667.99","1607.355","Class1","615","2.705","42050982.1","44206.543","Class1","615","2.865","508235.336","605.800","Class1","615","2.73","4803844.04","7988.580","Class1","615","2.79","2154884.63","2782.653","Class1","615","2.82","1657530.00","1579.160",
"Pentalene, octahydro-2-methyl-","Class1","615","1.735","44283.364","231.069","Class1","620","1.745","1213324.17","2745.062","Class1","615","1.735","57875.115","335.850","Class1","615","1.735","135134.117","657.994","Class1","615","1.74","74648.812","416.060","Class1","615","1.74","93444.215","530.154",
"3-Octanone","Class1","615","1.825","376370.231","1132.258","Class1","620","1.825","3413735.65","8845.253","Class1","615","1.845","163714.731","415.706","Class1","615","1.825","2377775.94","4764.600","Class1","615","1.835","630996.722","1619.799","Class1","615","1.845","175952.814","543.405",
"Butane, 1,2,3,4-tetrachloro-","Class1","620","2.28","92574.810","269.096","Class1","625","2.265","720194.042","1318.709","Class1","620","2.29","164043.038","353.395","Class1","620","2.285","217451.944","472.807","Class1","620","2.29","284952.718","722.293","Class1","620","2.3","58441.338","156.235",
"á-Myrcene","Class1","625","1.63","2384369.29","5291.131","Class1","625","1.635","8437749.14","17000.936","Class1","620","1.64","1001419.49","2753.817","Class1","625","1.63","5685464.36","13633.152","Class1","625","1.63","3341581.24","8039.477","Class1","625","1.64","5325134.85","14749.586",
"Furan, 2-pentyl-","Class1","625","1.75","6725981.63","48096.363","Class1","625","1.76","7987159.49","33276.164","Class1","625","1.745","1814949.77","14527.481","Class1","625","1.755","7626759.09","51982.461","Class1","625","1.755","11411924.1","78242.945","Class1","625","1.76","6163448.55","47183.586",
"octanone (2-)","Class1","625","1.85","3002468.03","5407.942","Class1","625","1.855","15526136.7","14700.663","Class1","625","1.85","731398.891","2038.524","Class1","625","1.85","12218807.8","16091.447","Class1","625","1.855","2586985.59","13088.213","Class1","625","1.865","1689271.92","6429.039",
"1,1,3,3,5-Pentamethylcyclohexane","Class1","630","1.47","19423601.4","71853.906","Class1","630","1.49","21097010.1","56324.926","Class1","625","1.48","32668236.5","124768.859","Class1","630","1.48","31814957.4","77644.047","Class1","630","1.475","26491477.5","86024.773","Class1","630","1.485","37037172.1","87117.148",
"Benzene, 1,2,3-trimethyl-","Class1","630","1.935","10185735.6","31936.557","Class1","630","1.985","33237712.9","61529.090","Class1","625","1.955","18698989.9","76336.461","Class1","630","1.94","41888411.2","89915.969","Class1","630","1.935","28901567.8","85935.992","Class1","630","1.945","15585701.4","63717.027",
"Benzofuran","Class1","635","2.41","5308663.75","20134.699","Class1","635","2.415","21318962.4","61403.113","Class1","635","2.42","7292102.60","24582.563","Class1","635","2.415","13208337.9","54577.434","Class1","635","2.415","15099897.4","63380.895","Class1","635","2.425","6163309.19","23293.123",
"Benzene, 1-ethenyl-2-methyl-","Class1","635","2.08","649505.920","1910.676","Class1","635","2.07","32718829.7","31004.684","Class1","635","2.08","945144.058","2830.010","Class1","635","2.08","1647831.23","4527.895","Class1","635","2.075","1965534.65","6653.222","Class1","635","2.085","1271538.14","3842.125",
"1,8-Nonanediol, 8-methyl-","Class1","635","1.64","7060636.82","28856.443","Class1","640","1.65","11506580.0","19428.932","Class1","635","1.64","12582764.0","42398.914","Class1","635","1.65","16573949.3","46392.660","Class1","635","1.65","5887542.43","18386.160","Class1","635","1.655","3523540.21","10662.710",
"Cyclotetrasiloxane, octamethyl-","Class1","640","1.195","12280980.8","57401.203","Class1","635","1.21","32069985.4","71628.797","Class1","635","1.2","4062086.24","24196.568","Class1","640","1.195","35542189.3","117449.039","Class1","635","1.21","19247612.0","82997.461","Class1","640","1.2","2789061.22","13009.586",
"tridecane","Class1","640","1.35","476879.135","2192.978","Class1","640","1.38","1268690.73","6134.400","Class1","635","1.36","603721.777","3890.918","Class1","640","1.355","889707.496","4046.483","Class1","640","1.3","203769.043","2020.255","Class1","635","1.365","679595.046","1643.527",
"Cyclooctane, 1,2-diethyl-","Class1","640","1.475","38543205.6","39212.676","Class1","640","1.49","26920638.2","22397.492","Class1","640","1.465","54160705.5","52625.488","Class1","640","1.475","35965241.9","39057.426","Class1","640","1.47","58787679.8","51505.516","Class1","640","1.48","51535104.0","58720.262",
"3-Heptanol, 3,6-dimethyl-","Class1","640","1.645","7497322.16","19909.807","Class1","645","1.655","19628508.6","16723.277","Class1","640","1.64","14133904.6","28509.500","Class1","640","1.65","22637942.3","37895.336","Class1","640","1.64","6821791.52","13250.074","Class1","640","1.65","3773629.59","7782.378",
"2-Hexenal, 2-ethyl-","Class1","640","1.895","1620063.92","3675.879","Class1","645","1.91","15160804.3","16494.113","Class1","640","1.895","3000282.40","5954.472","Class1","640","1.91","11438519.2","14812.456","Class1","640","1.895","4207464.14","8558.546","Class1","640","1.895","460458.568","1159.184",
"2,6-Dimethyl-1,3,5,7-octatetraene, E,E-","Class1","645","1.785","49147.136","350.688","Class1","650","1.775","477359.529","1126.408","Class1","645","1.785","88293.417","697.310","Class1","645","1.785","135584.968","636.116","Class1","645","1.785","111010.361","884.034","Class1","645","1.79","52162.723","351.102",
"Octanal","Class1","645","1.83","9798069.09","9517.411","Class1","650","1.83","53426789.7","12112.764","Class1","645","1.83","14960719.5","14956.595","Class1","645","1.835","21654539.3","11360.304","Class1","645","1.83","8916260.97","7023.668","Class1","645","1.835","2546456.65","2261.940",
"Octane, 2,3,6,7-tetramethyl-","Class1","650","1.365","26518544.1","32043.566","Class1","650","1.375","15314547.5","25840.109","Class1","645","1.37","13631395.7","35227.336","Class1","650","1.37","30182176.6","37051.633","Class1","650","1.365","43286255.9","42841.211","Class1","650","1.37","40467745.2","48967.918",
"Benzene, 1,3-dichloro-","Class1","650","2.165","121543.665","557.611","Class1","650","2.17","859753.444","6087.187","Class1","645","2.2","141924.846","455.300","Class1","650","2.17","157788.260","797.945","Class1","650","2.17","481923.985","2092.040","Class1","650","2.18","58471.152","255.953",
"Benzene, (2-methylpropyl)-","Class1","650","1.86","459777.268","812.154","Class1","655","1.86","8684834.48","15733.553","Class1","650","1.86","461064.089","1543.669","Class1","650","1.86","1109829.66","3094.112","Class1","650","1.86","1059137.29","2479.872","Class1","650","1.86","512459.665","1542.801",
"6-Methyl-bicyclo[4.2.0]octan-7-one","Class1","650","1.62","86524.069","226.483","Class1","660","1.63","264739.459","112.161","Class1","650","1.615","107149.957","352.976","Class1","655","1.63","364377.836","1192.810","Class1","650","1.625","74988.388","237.809","Class1","650","1.625","52539.224","148.202",
"Cyclohexane, 3-ethyl-5-methyl-1-propyl-","Class1","655","1.475","1245468.46","9403.781","Class1","655","1.475","2947518.90","17371.523","Class1","650","1.465","2788319.97","18230.439","Class1","655","1.475","4604042.00","14399.623","Class1","650","1.47","3163622.87","21670.945","Class1","650","1.48","7689002.81","28880.516",
"2-Hexenal, 2-ethyl-","Class1","655","1.98","4800378.84","11153.216","Class1","655","1.985","23580561.8","24881.654","Class1","655","1.98","7346617.69","14416.834","Class1","650","1.995","1621763.38","3536.794","Class1","655","1.98","15276368.8","30100.449","Class1","655","1.98","3032362.29","7665.962",
"Oxalic acid, butyl isobutyl ester","Class1","655","1.275","17148.056","112.218","Class1","655","1.28","94878.947","220.029","Class1","655","1.28","40925.031","271.188","Class1","655","1.28","45117.333","117.691","Class1","655","1.275","39452.739","282.309","Class1","655","1.28","14515.794","98.096",
"á-Ocimene","Class1","655","1.705","5971629.17","12762.189","Class1","660","1.705","58116603.5","45622.219","Class1","655","1.7","5642896.11","14803.224","Class1","655","1.705","14801646.8","24426.912","Class1","655","1.7","8182939.83","19652.988","Class1","655","1.705","13546779.1","27271.691",
"3,4-Hexanedione, 2,2,5-trimethyl-","Class1","660","1.355","25843764.7","18912.604","Class1","660","1.365","35466608.4","10975.203","Class1","655","1.35","57474475.8","8937.349","Class1","655","1.375","19471109.5","16864.832","Class1","655","1.36","19112316.6","21630.277","Class1","655","1.38","22764213.5","24768.215",
"Heptane, 3-(chloromethyl)-","Class1","660","1.665","492146.065","2240.134","Class1","665","1.635","2541347.59","9156.333","Class1","660","1.635","1044298.18","4931.787","Class1","660","1.645","1425817.73","4018.061","Class1","660","1.635","1052190.17","5819.490","Class1","660","1.645","597313.924","2186.337",
"Benzene, 1,3-dichloro-","Class1","660","2.235","1849142.11","11248.474","Class1","665","2.245","50033401.9","129495.930","Class1","660","2.24","1662091.93","8688.008","Class1","660","2.23","4923876.45","30609.910","Class1","660","2.23","2733234.84","20043.000","Class1","660","2.24","1183150.51","6557.008",
"o-Isopropenyltoluene","Class1","660","1.975","480521.196","1787.840","Class1","665","1.965","1076445.64","5072.012","Class1","660","1.975","1101367.35","5705.501","Class1","665","1.965","888965.656","3571.508","Class1","660","1.975","1208308.77","4964.717","Class1","665","1.965","1921494.78","7159.087",
