,"Baboon 6B:1",,,,,"Baboon 3B:1",,,,,"Baboon 10B:1",,,,,"Baboon 2B:1",,,,,"Baboon 4B:1",,,,,"Baboon 1B:1",,,,,
Peak,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,
"Pentanal","Class1","200","1.35","12036249.4","19685.605","Class1","200","1.365","26810744.4","27419.365","Class1","200","1.355","8632919.55","13901.173","Class1","200","1.355","40200975.1","47233.871","Class1","200","1.355","33502896.2","47625.223","Class1","200","1.355","7063348.90","10247.946",
"1,3,5-Trioxane","Class1","200","1.505","2022608.31","5343.835","Class1","205","1.5","4969489.48","5299.396","Class1","200","1.505","1180195.32","4198.425","Class1","205","1.495","6463804.19","7469.343","Class1","195","1.52","5678051.85","12182.178","Class1","195","1.51","2369538.85","8024.119",
"2-Heptene","Class1","205","1.125","6406371.18","23569.842","Class1","205","1.12","10281495.9","15628.385","Class1","205","1.12","25999052.1","47031.793","Class1","205","1.125","9081458.21","27061.158","Class1","200","1.125","19800403.5","29804.906","Class1","205","1.115","16449853.6","27778.889",
"2,4-Dimethylfuran","Class1","215","1.31","1798903.72","2852.662","Class1","215","1.3","3688384.98","6168.700","Class1","215","1.31","3969495.26","6460.170","Class1","215","1.305","6714245.96","14033.482","Class1","215","1.31","3631814.82","7124.633","Class1","215","1.305","4020345.31","6756.807",
"Cyclohexane, methyl-","Class1","220","1.155","934662.785","1498.123","Class1","215","1.17","5930990.24","8233.457","Class1","220","1.155","1066858.12","2264.361","Class1","220","1.16","4302474.63","7693.667","Class1","220","1.16","2794071.00","5991.000","Class1","220","1.155","2905868.21","4498.012",
"Nonane","Class1","225","1.08","1631819.80","1332.407","Class1","225","1.065","81507502.9","23820.248","Class1","225","1.085","2748235.80","1632.478","Class1","225","1.08","21357663.8","8848.723","Class1","225","1.085","15456816.2","9775.239","Class1","225","1.08","4789881.11","3133.400",
"Butanenitrile, 3-methyl-","Class1","235","1.59","782305.817","309.834","Class1","230","1.62","8239184.35","15180.706","Class1","235","1.6","1067549.60","413.883","Class1","235","1.6","3875988.53","1342.702","Class1","235","1.595","2097060.61","903.962","Class1","235","1.6","1377457.79","642.780",
"Methyl Isobutyl Ketone","Class1","245","1.4","4751808.31","5664.698","Class1","245","1.4","32160751.1","9784.719","Class1","245","1.4","5422890.65","6138.229","Class1","245","1.4","10535479.7","14278.151","Class1","245","1.415","13856341.5","15661.402","Class1","245","1.4","12463177.3","13375.015",
"1-Heptene, 3-methyl-","Class1","245","1.155","3725414.93","4695.235","Class1","245","1.145","64264003.9","18361.111","Class1","245","1.14","4149969.45","7340.623","Class1","250","1.15","61701982.8","10416.922","Class1","245","1.15","17221735.6","15000.576","Class1","245","1.145","6120117.97","10802.364",
"1,3-Pentadiene, 2,3-dimethyl-","Class1","255","1.265","6025245.50","9223.552","Class1","255","1.265","11717054.7","8438.721","Class1","255","1.27","13351065.4","20332.547","Class1","255","1.27","11611715.7","13013.468","Class1","255","1.27","15223829.5","21743.307","Class1","255","1.27","10007731.7","14358.744",
