,"Baboon 6B:1",,,,,"Baboon 3B:1",,,,,"Baboon 10B:1",,,,,"Baboon 2B:1",,,,,"Baboon 4B:1",,,,,"Baboon 1B:1",,,,,
Peak,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,
"1,3,5,7-Tetroxane","Class1","530","2.555","2111340.41","1554.251","Class1","530","2.655","20944074.1","7969.066","Class1","530","2.56","4642127.27","3955.641","Class1","530","2.65","22378298.7","17460.064","Class1","530","2.645","49739402.1","22281.404","Class1","530","2.575","1931772.41","1008.537",
"1,3,5,7-Tetroxane","Class1","875","3.01","1255982.64","2568.093","Class1","875","3.075","104006241","86143.883","Class1","875","3.02","1838929.26","2829.084","Class1","875","3.005","28964516.3","47956.934","Class1","875","3.035","1772405.56","2745.470","Class1","875","3.05","419740.003","793.962",
